Date,Open,High,Low,Close,Adj Close,Volume
2025-02-28,36.87,37.699999999999996,35.919999999999995,36.61,36.61,7114792
2025-03-03,39.75,40.66,38.79,39.99,39.99,13441136
2025-03-04,38.66,39.05,37.739999999999995,38.34,38.34,6873421
2025-03-05,37.99,38.190000000000005,37.56,37.9,37.9,11550670
2025-03-06,35.78,36.09,35.67,36.07,36.07,11081950
2025-03-07,35.78,36.26,34.84,35.39,35.39,15986868
2025-03-10,35.29,36.13,34.8,36.08,36.08,11925877
2025-03-11,39.33,40.199999999999996,38.36,40.03,40.03,14805685
2025-03-12,38.01,38.12,37.04,37.25,37.25,10967106
2025-03-13,38.54,39.1,37.67,37.77,37.77,16684495
2025-03-14,35.1,35.58,34.730000000000004,34.82,34.82,16706838
2025-03-17,39.85,40.15,39.4,39.41,39.41,15641336
2025-03-18,39.16,39.37,38.29,38.39,38.39,10118922
2025-03-19,36.06,36.46,35.67,36.21,36.21,12177545
2025-03-20,35.91,36.86,35.66,35.75,35.75,10122783
2025-03-21,35.92,36.31,35.32,35.64,35.64,18642511
2025-03-24,36.52,37.09,35.580000000000005,36.86,36.86,15873803
2025-03-25,37.62,38.349999999999994,36.89,36.92,36.92,10528983
2025-03-26,37.16,37.589999999999996,36.55,37.4,37.4,17649115
2025-03-27,36.46,37.43,36.27,36.6,36.6,5160775
2025-03-28,38.06,39.03,37.410000000000004,37.6,37.6,12349369
2025-03-31,35.7,36.03,34.71,35.63,35.63,7667867
2025-04-01,36.46,37.01,36.230000000000004,36.72,36.72,14951907
2025-04-02,36.83,37.199999999999996,36.26,37.08,37.08,16858009
2025-04-03,37.28,37.64,36.39,37.31,37.31,11655623
2025-04-04,38.93,39.06,38.16,38.88,38.88,12686841
2025-04-07,36.0,36.65,35.27,35.66,35.66,17164411
2025-04-08,37.57,38.12,36.84,37.07,37.07,11978737
2025-04-09,37.96,38.11,37.54,37.97,37.97,6344027
2025-04-10,35.23,35.58,34.87,35.44,35.44,9166500
2025-04-11,38.04,38.96,37.21,38.94,38.94,12467048
2025-04-14,35.85,36.17,35.02,35.49,35.49,14179875
2025-04-15,35.33,35.559999999999995,34.449999999999996,34.86,34.86,12884479
2025-04-16,39.74,40.28,38.82,39.95,39.95,5497562
2025-04-17,39.83,40.82,39.269999999999996,39.8,39.8,17237301
2025-04-18,39.04,39.36,38.49,39.3,39.3,9578238
2025-04-21,36.52,37.220000000000006,35.7,37.0,37.0,9037776
2025-04-22,35.49,36.28,34.81,35.44,35.44,15392776
2025-04-23,38.42,38.730000000000004,37.690000000000005,38.47,38.47,9010912
2025-04-24,37.2,37.96,36.38,37.57,37.57,9511732
2025-04-25,35.61,36.04,34.71,34.85,34.85,10562067
2025-04-28,37.48,38.15,37.08,38.05,38.05,10237196
2025-04-29,35.17,35.84,34.730000000000004,35.29,35.29,9885211
2025-04-30,39.55,40.129999999999995,39.37,40.0,40.0,11126319
2025-05-01,36.29,36.47,35.67,35.93,35.93,15568604
2025-05-02,38.31,39.160000000000004,38.18,39.06,39.06,6600396
2025-05-05,36.56,36.95,36.04,36.39,36.39,8311149
2025-05-06,37.6,37.870000000000005,37.01,37.02,37.02,13511010
2025-05-07,37.73,37.87,37.37,37.82,37.82,14555196
2025-05-08,35.92,36.550000000000004,35.29,35.41,35.41,18021573
2025-05-09,39.85,40.56,39.72,39.99,39.99,7496081
2025-05-12,38.88,38.99,38.75,38.98,38.98,16066226
2025-05-13,39.7,40.260000000000005,38.86,40.19,40.19,18156607
2025-05-14,39.47,39.769999999999996,39.05,39.46,39.46,18046468
2025-05-15,37.99,38.67,37.78,38.34,38.34,5575278
2025-05-16,39.61,39.87,39.04,39.41,39.41,10187480
2025-05-19,35.44,36.16,34.65,35.09,35.09,6178049
2025-05-20,35.98,36.43,35.69,35.93,35.93,8080201
2025-05-21,35.23,36.169999999999995,34.57,35.65,35.65,18060919
2025-05-22,36.63,36.85,36.45,36.75,36.75,12136029
2025-05-23,36.94,37.349999999999994,36.79,37.23,37.23,16951345
2025-05-26,36.36,36.56,35.78,36.4,36.4,8464442
2025-05-27,39.14,40.07,38.55,38.69,38.69,14663340
2025-05-28,36.78,37.67,36.11,36.88,36.88,8314692
2025-05-29,36.4,36.73,35.65,35.71,35.71,17582006
2025-05-30,37.71,38.4,36.730000000000004,37.65,37.65,9719607
2025-06-02,35.7,36.540000000000006,35.14,35.76,35.76,11285088
2025-06-03,39.01,39.61,38.62,39.5,39.5,6110389
2025-06-04,35.37,35.949999999999996,34.55,35.04,35.04,13416320
2025-06-05,39.93,40.25,39.589999999999996,39.67,39.67,17460255
2025-06-06,38.86,39.04,38.36,38.46,38.46,8912942
2025-06-09,35.99,36.9,35.82,36.64,36.64,13501424
2025-06-10,35.03,35.94,34.910000000000004,35.55,35.55,12468810
2025-06-11,39.08,39.75,38.11,38.28,38.28,6635156
2025-06-12,38.53,38.94,37.68,37.79,37.79,19966041
2025-06-13,38.65,39.059999999999995,37.92,38.72,38.72,13523838
2025-06-16,38.86,39.61,38.39,38.48,38.48,15155224
2025-06-17,35.37,36.279999999999994,35.11,36.07,36.07,10001045
2025-06-18,36.79,37.69,36.55,37.36,37.36,9463418
2025-06-19,35.58,36.379999999999995,35.25,35.34,35.34,14771802
2025-06-20,39.32,40.0,38.73,38.84,38.84,16489968
2025-06-23,38.12,38.3,37.379999999999995,38.29,38.29,15270156
2025-06-24,36.65,36.9,35.96,36.31,36.31,9345760
2025-06-25,35.32,36.23,34.97,35.44,35.44,12153768
2025-06-26,36.55,37.199999999999996,35.589999999999996,36.9,36.9,8251298
2025-06-27,36.63,36.74,35.870000000000005,36.69,36.69,9465150
2025-06-30,38.65,38.839999999999996,38.05,38.83,38.83,13389012
2025-07-01,38.19,38.89,37.54,38.56,38.56,12249903
2025-07-02,39.44,39.54,38.96,39.18,39.18,9897590
